"","clust","dim 1","dim 2","dim 3","per agent - food consumers","per agent - food retailers","per agent - food distributors transporters","per agent - food producers","per agent - generic agents","per agent - food traders","per agent - non-food agents other","per agent - no agents","per agent - political entities","per agent - food storers and processors","modelling - primary or secondary","per model - biophysical domain","modelling - data quan spatial","per model - economic domain","per model - logistic domain","per model - social domain","per model - ABM","per model - cellular automata","per model - CGE model","per model - mathematical other","per model - microsimulation model","per model - optimisation","per model - PE model","per model - statistical/econometric","per model - system dynamics model","modelling - aggregated quantitative","modelling - disaggregated qualitative","modelling - disaggregated quantitative","food - consumption","food - distribution & transport","food - production*","food - retail","food - storage and processing","food - trade & wholesale","food - cereals & cereal products","food - compisite foods*","food - composite crops*","food - fodder crops and derived products","food - fruits and derived products","food - livestock and animal sourced foods**","food - non-food crops and derived products**","food - oil crops and vegetable oils and fats**","food - pulses, nuts, and derived products**","food - roots and tubers, and derived products","food - seeds for planting*","food - stimulant crops, sugar crops, derived products, and additives**","food - vegetables and derived products","spatial & temporal - spatial extent [m2]","spatial & temporal - temporal resolution [d]","spatial & temporal - temporal extent [d]","spatial & temporal - spatial resolution [m2]","spatial & temporal - ref quan scale","spatial & temporal - geographic representation","spatial & temporal - hypothetical representation","spatial - East Asia & Pacific","spatial - Europe & Central Asia","spatial - Latin America & Caribbean","spatial - Middle East & North Africa","spatial - NA","spatial - North America","spatial - South Asia","spatial - Sub-Saharan Africa","per measure - communal","per measure - process-based simulation","per measure - spatially targeted?","per measure - private","per measure - public","per measure - effect-based simulation","gov - obj access","gov - obj availability","gov - obj environmental/climate","gov - obj health & wellbeing","gov - obj infrastructure, logistics & technology","gov - obj macro-economic","gov - obj other","gov - obj stability","gov - obj utilisation","gov - At-large processing","gov - At-large storage and custody","gov - At-large treatment","gov - Bearer-directed payments","gov - Bespoke messages","gov - Bounties","gov - Conditional tokens","gov - Conduits","gov - Contracts","gov - Enablements","gov - Group-targeted constraints","gov - Group-targeted messages","gov - Group-targeted transportation and distribution","gov - Group treatnent","gov - Open compacts","gov - Open permits","gov - Packaged self-serve messages","gov - Processing","gov - Propaganda","gov - Standard constraints","gov - Storage and custody","gov - Transfers","gov - Transport and distribution","per effect - intended?","per effect - global impact","per effect - impact within jurisdiction","per effect - impact outside jurisdiction","aff food consumers","aff food distributors transporters","aff food producers","aff food retailers","aff food storers and processors","aff food traders","aff generic agents","aff other non-food agents","aff political entities","FS - access","FS - availability","FS - stability","FS - utilisation","Document"
"1","2",-0.215917109196496,5.98843976014283,5.69601300609938,"yes","yes","yes","no","no","no","no","no","no","no","primary","no",0,"no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"2","2",-0.124655222272235,6.06201747683365,5.7132256643552,"yes","yes","yes","no","no","no","no","no","no","no","secondary","no",0,"no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"3","2",-0.0944948107683459,5.09636477507834,5.60515088956681,"yes","yes","yes","no","no","no","no","no","no","no","secondary","no",0,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"4","2",-0.185756697692735,5.02278705838753,5.58793823131079,"yes","yes","yes","no","no","no","no","no","no","no","primary","no",0,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"5","2",-0.418630237325793,4.96324047273251,5.55335473257043,"yes","yes","yes","no","no","no","no","no","no","no","secondary","no",2,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"6","2",-0.448790648829778,5.92889317448756,5.66142950735888,"yes","yes","yes","no","no","no","no","no","no","no","secondary","no",2,"no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"7","2",-0.0260788953136146,5.80845313793719,5.5716520574256,"yes","yes","yes","no","no","no","no","no","no","no","secondary","no",0,"no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"8","2",-0.320053910367196,4.70967613383614,5.41178112564078,"yes","yes","yes","no","no","no","no","no","no","no","secondary","no",2,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"9","2",-0.117340782238147,5.73487542124635,5.55443939916971,"yes","yes","yes","no","no","no","no","no","no","no","primary","no",0,"no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
"10","2",0.00408151619045972,4.84280043618203,5.46357728263712,"yes","yes","yes","no","no","no","no","no","no","no","secondary","no",0,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",3630000,1,392,NA,1,"yes","no","no","no","no","no","no","yes","no","no","no","concrete","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","Abel 2020"
